fecha,descripcion,categoria,monto
2026-03-17,"Cine y snacks",entretenimiento,65718
2026-03-17,"Evento cultural",entretenimiento,88654
2026-03-17,"Salida con amigos",ocio,73384
2026-03-18,"Compra en supermercado",alimentacion,115857
2026-03-18,"Salida con amigos",ocio,86724
2026-03-18,"Control odontologico",salud,140934
2026-03-18,"Taxi por lluvia",transporte,28567
2026-03-19,"Compra en supermercado",alimentacion,126664
2026-03-19,"Snack tarde",alimentacion,11954
2026-03-19,"Gasolina",transporte,48967
2026-03-20,"Cena en casa",alimentacion,25283
2026-03-20,"Accesorio celular",compras_no_esenciales,49257
2026-03-20,"Material de estudio",educacion,23216
2026-03-20,"Cine y snacks",entretenimiento,54793
2026-03-21,"Domicilio comida",alimentacion,41535
2026-03-21,"Recarga transporte",transporte,9748
2026-03-22,"Compra de frutas",alimentacion,34120
2026-03-22,"Snack tarde",alimentacion,10868
2026-03-22,"Compra de libro",educacion,38749
2026-03-22,"Bus ida y regreso",transporte,7400
2026-03-23,"Salida a cine",entretenimiento,60002
2026-03-23,"Salida fin de semana",ocio,80599
2026-03-24,"Domicilio comida",alimentacion,37714
2026-03-24,"Compra de zapatos",compras_no_esenciales,239594
2026-03-24,"Cafe y postre",ocio,22348
2026-03-24,"Pasaje de bus",transporte,3419
2026-03-25,"Compra de frutas",alimentacion,27870
2026-03-25,"Salida fin de semana",ocio,103221
2026-03-25,"Transporte app",transporte,27551
2026-03-26,"Compra de frutas",alimentacion,32248
2026-03-26,"Compra de frutas",alimentacion,37189
2026-03-26,"Compra en supermercado",alimentacion,145239
2026-03-26,"Taxi por lluvia",transporte,18298
2026-03-27,"Almuerzo oficina",alimentacion,20925
2026-03-27,"Mercado de la semana",alimentacion,106486
2026-03-27,"Transporte app",transporte,13683
2026-03-28,"Compra en supermercado",alimentacion,144903
2026-03-28,"Helado y bebida",ocio,13099
2026-03-28,"Helado y bebida",ocio,20640
2026-03-28,"Recarga transporte",transporte,21049
2026-03-29,"Cena en casa",alimentacion,38829
2026-03-29,"Compra de frutas",alimentacion,27227
2026-03-30,"Almuerzo oficina",alimentacion,13299
2026-03-30,"Pago plataforma educativa",educacion,52105
2026-03-30,"Plan familiar",ocio,35481
2026-03-30,"Gasolina",transporte,90192
2026-03-31,"Pasaje de bus",transporte,4097
2026-03-31,"Taxi por lluvia",transporte,13928
2026-04-01,"Domicilio comida",alimentacion,32424
2026-04-01,"Pago de energia",servicios,195714
2026-04-01,"Bus ida y regreso",transporte,8029
2026-04-02,"Domicilio comida",alimentacion,47823
2026-04-02,"Recarga transporte",transporte,16339
2026-04-03,"Suscripcion almacenamiento",entretenimiento,14140
2026-04-03,"Pago de agua",servicios,47425
2026-04-04,"Mercado de la semana",alimentacion,100496
2026-04-04,"Compra de libro",educacion,23915
2026-04-04,"Transporte app",transporte,17919
2026-04-05,"Almuerzo oficina",alimentacion,18715
2026-04-05,"Cena en casa",alimentacion,26812
2026-04-05,"Salida con amigos",ocio,47917
2026-04-05,"Control odontologico",salud,114352
2026-04-05,"Pago de internet",servicios,85169
2026-04-05,"Gasolina",transporte,75185
2026-04-06,"Domicilio comida",alimentacion,24882
2026-04-06,"Domicilio comida",alimentacion,43918
2026-04-06,"Pago plataforma educativa",educacion,32281
2026-04-06,"Salida con amigos",ocio,74239
2026-04-07,"Snack tarde",alimentacion,8503
2026-04-07,"Cine y snacks",entretenimiento,70857
2026-04-07,"Evento cultural",entretenimiento,95755
2026-04-07,"Cafe y postre",ocio,10890
2026-04-07,"Salida con amigos",ocio,59589
2026-04-07,"Pago de celular",servicios,59705
2026-04-07,"Gasolina",transporte,94469
2026-04-08,"Cena en casa",alimentacion,33805
2026-04-08,"Salida a cine",entretenimiento,75206
2026-04-08,"Cafe y postre",ocio,15304
2026-04-08,"Bus ida y regreso",transporte,5627
2026-04-09,"Domicilio comida",alimentacion,32796
2026-04-09,"Suscripcion de Netflix",entretenimiento,26591
2026-04-10,"Compra de frutas",alimentacion,20010
2026-04-10,"Mercado de la semana",alimentacion,76113
2026-04-11,"Almuerzo oficina",alimentacion,16603
2026-04-11,"Compra no planeada",compras_no_esenciales,107426
2026-04-11,"Plataforma de musica",entretenimiento,20219
2026-04-11,"Videojuego digital",entretenimiento,45004
2026-04-11,"Taxi por lluvia",transporte,18091
2026-04-12,"Snack tarde",alimentacion,9193
2026-04-12,"Suscripcion almacenamiento",entretenimiento,10323
2026-04-12,"Suscripcion almacenamiento",entretenimiento,10039
2026-04-12,"Recarga transporte",transporte,8848
2026-04-13,"Compra de frutas",alimentacion,37196
2026-04-13,"Compra no planeada",compras_no_esenciales,71728
2026-04-13,"Curso virtual",educacion,112772
2026-04-14,"Compra de frutas",alimentacion,35311
2026-04-14,"Compra de libro",educacion,51507
2026-04-14,"Bus ida y regreso",transporte,6836
2026-04-15,"Snack tarde",alimentacion,11068
2026-04-15,"Salida fin de semana",ocio,88430
2026-04-15,"Gimnasio mensual",salud,73991
2026-04-15,"Bus ida y regreso",transporte,6489
2026-04-16,"Compra en supermercado",alimentacion,109242
2026-04-17,"Cena en casa",alimentacion,22255
2026-04-17,"Consulta medica",salud,139981
2026-04-17,"Bus ida y regreso",transporte,7804
2026-04-17,"Recarga transporte",transporte,10018
2026-04-18,"Compra de cuaderno",educacion,20913
2026-04-18,"Matricula curso corto",educacion,174807
2026-04-18,"Medicamentos formulados",salud,48507
2026-04-18,"Gasolina",transporte,69542
2026-04-19,"Mercado de la semana",alimentacion,122521
2026-04-19,"Cena en restaurante",ocio,77303
2026-04-20,"Compra en supermercado",alimentacion,101907
2026-04-20,"Compra de zapatos",compras_no_esenciales,125033
2026-04-20,"Cafe y postre",ocio,18716
2026-04-20,"Transporte app",transporte,17333
2026-04-21,"Domicilio comida",alimentacion,26420
2026-04-21,"Compra de libro",educacion,33856
2026-04-21,"Taxi por lluvia",transporte,32305
2026-04-22,"Mercado de la semana",alimentacion,82626
2026-04-22,"Compra de audifonos",compras_no_esenciales,47539
2026-04-22,"Suscripcion almacenamiento",entretenimiento,11126
2026-04-23,"Cena en restaurante",ocio,94560
2026-04-23,"Pasaje de bus",transporte,2615
2026-04-24,"Material de estudio",educacion,18231
2026-04-24,"Cine y snacks",entretenimiento,82824
2026-04-24,"Control odontologico",salud,65150
2026-04-25,"Compra en supermercado",alimentacion,137374
2026-04-25,"Pasaje de bus",transporte,3371
2026-04-26,"Snack tarde",alimentacion,5350
2026-04-26,"Cine y snacks",entretenimiento,86167
2026-04-26,"Bus ida y regreso",transporte,7911
2026-04-26,"Pasaje de bus",transporte,2666
2026-04-27,"Almuerzo oficina",alimentacion,12607
2026-04-27,"Almuerzo oficina",alimentacion,20335
2026-04-27,"Control odontologico",salud,81809
2026-04-27,"Transporte app",transporte,26523
2026-04-27,"Transporte app",transporte,12448
2026-04-28,"Bus ida y regreso",transporte,7923
2026-04-29,"Compra de frutas",alimentacion,37469
2026-04-30,"Snack tarde",alimentacion,6055
2026-04-30,"Pago plataforma educativa",educacion,40341
2026-04-30,"Plan familiar",ocio,34073
2026-04-30,"Salida con amigos",ocio,64399
2026-05-01,"Domicilio comida",alimentacion,44484
2026-05-01,"Pago de energia",servicios,184973
2026-05-02,"Cafe y postre",ocio,10123
2026-05-02,"Consulta medica",salud,137120
2026-05-02,"Recarga transporte",transporte,9027
2026-05-03,"Compra en supermercado",alimentacion,120816
2026-05-03,"Cena en restaurante",ocio,63234
2026-05-03,"Compra farmacia",salud,20692
2026-05-03,"Pago de agua",servicios,43115
2026-05-03,"Taxi por lluvia",transporte,16774
2026-05-04,"Domicilio comida",alimentacion,36424
2026-05-04,"Domicilio comida",alimentacion,34955
2026-05-04,"Bus ida y regreso",transporte,5794
2026-05-05,"Snack tarde",alimentacion,6751
2026-05-05,"Pago de internet",servicios,89218
2026-05-05,"Pasaje de bus",transporte,2980
2026-05-06,"Almuerzo oficina",alimentacion,15006
2026-05-06,"Snack tarde",alimentacion,5713
2026-05-06,"Matricula curso corto",educacion,190075
2026-05-06,"Taxi por lluvia",transporte,31160
2026-05-07,"Compra en supermercado",alimentacion,149150
2026-05-07,"Compra no planeada",compras_no_esenciales,93036
2026-05-07,"Cena en restaurante",ocio,83771
2026-05-07,"Pago de celular",servicios,59353
2026-05-07,"Pasaje de bus",transporte,4351
2026-05-08,"Compra de ropa",compras_no_esenciales,213640
2026-05-08,"Matricula curso corto",educacion,172858
2026-05-08,"Transporte app",transporte,30840
2026-05-09,"Desayuno fuera",alimentacion,15201
2026-05-09,"Compra de cuaderno",educacion,8393
2026-05-09,"Suscripcion de Netflix",entretenimiento,29285
2026-05-10,"Almuerzo oficina",alimentacion,20682
2026-05-10,"Domicilio comida",alimentacion,32414
2026-05-10,"Material de estudio",educacion,18288
2026-05-10,"Evento cultural",entretenimiento,67765
2026-05-10,"Gasolina",transporte,65235
2026-05-10,"Pasaje de bus",transporte,4310
2026-05-11,"Compra en supermercado",alimentacion,135487
2026-05-11,"Plataforma de musica",entretenimiento,17511
2026-05-11,"Consulta medica",salud,94545
2026-05-12,"Mercado de la semana",alimentacion,117472
2026-05-12,"Salida fin de semana",ocio,141674
2026-05-12,"Consulta medica",salud,88586
2026-05-12,"Transporte app",transporte,33790
2026-05-13,"Domicilio comida",alimentacion,34003
2026-05-13,"Curso virtual",educacion,110057
2026-05-13,"Salida con amigos",ocio,91823
2026-05-13,"Gasolina",transporte,74289
2026-05-14,"Mercado de la semana",alimentacion,70497
2026-05-14,"Evento cultural",entretenimiento,110464
2026-05-14,"Pasaje de bus",transporte,2854
2026-05-15,"Compra de zapatos",compras_no_esenciales,241930
2026-05-15,"Matricula curso corto",educacion,187554
2026-05-15,"Gimnasio mensual",salud,79187
2026-05-15,"Pasaje de bus",transporte,3668
2026-05-15,"Recarga transporte",transporte,19304
2026-05-16,"Almuerzo oficina",alimentacion,15742
2026-05-16,"Compra de frutas",alimentacion,22340
2026-05-16,"Matricula curso corto",educacion,147635
2026-05-16,"Helado y bebida",ocio,14864
2026-05-16,"Helado y bebida",ocio,20383
2026-05-16,"Pasaje de bus",transporte,4006
2026-05-16,"Recarga transporte",transporte,11962
2026-05-17,"Compra de frutas",alimentacion,32064
2026-05-17,"Cafe y postre",ocio,12424
2026-05-17,"Transporte app",transporte,25607
2026-05-18,"Compra no planeada",compras_no_esenciales,67885
2026-05-18,"Helado y bebida",ocio,23934
2026-05-18,"Consulta medica",salud,126371
2026-05-18,"Gasolina",transporte,87376
2026-05-19,"Compra en supermercado",alimentacion,148722
2026-05-19,"Suscripcion almacenamiento",entretenimiento,12992
2026-05-19,"Cafe y postre",ocio,16754
2026-05-19,"Taxi por lluvia",transporte,23242
2026-05-19,"Transporte app",transporte,21483
2026-05-20,"Cena en casa",alimentacion,26165
2026-05-20,"Mercado de la semana",alimentacion,82741
2026-05-20,"Salida con amigos",ocio,51747
2026-05-20,"Gasolina",transporte,50277
2026-05-21,"Pasaje de bus",transporte,3688
2026-05-21,"Recarga transporte",transporte,15228
2026-05-22,"Cena en casa",alimentacion,23860
2026-05-22,"Compra de libro",educacion,21225
2026-05-22,"Helado y bebida",ocio,13905
2026-05-22,"Gasolina",transporte,86066
2026-05-23,"Salida con amigos",ocio,73456
2026-05-23,"Transporte app",transporte,15736
2026-05-24,"Material de estudio",educacion,25861
2026-05-24,"Cafe y postre",ocio,12957
2026-05-24,"Recarga transporte",transporte,17790
2026-05-25,"Almuerzo oficina",alimentacion,17546
2026-05-25,"Compra en supermercado",alimentacion,153606
2026-05-25,"Compra de cuaderno",educacion,11905
2026-05-25,"Pago plataforma educativa",educacion,45811
2026-05-25,"Suscripcion almacenamiento",entretenimiento,12727
2026-05-25,"Recarga transporte",transporte,15854
2026-05-26,"Cena en casa",alimentacion,28762
2026-05-26,"Snack tarde",alimentacion,12237
2026-05-27,"Cena en casa",alimentacion,40083
2026-05-27,"Salida a cine",entretenimiento,58956
2026-05-27,"Suscripcion almacenamiento",entretenimiento,10402
2026-05-28,"Almuerzo oficina",alimentacion,18923
2026-05-29,"Almuerzo oficina",alimentacion,12711
2026-05-29,"Matricula curso corto",educacion,247673
2026-05-29,"Cafe y postre",ocio,12252
2026-05-29,"Pasaje de bus",transporte,3693
2026-05-30,"Compra en supermercado",alimentacion,91427
2026-05-30,"Compra farmacia",salud,34167
2026-05-30,"Bus ida y regreso",transporte,7007
2026-05-31,"Snack tarde",alimentacion,11848
2026-05-31,"Bus ida y regreso",transporte,5528
2026-05-31,"Gasolina",transporte,66397
2026-05-31,"Transporte app",transporte,26573
