fecha,descripcion,categoria,monto,mes,peso_categoria,frecuencia,porcentaje_categoria,alerta_incremento,monto_normalizado,frecuencia_normalizada,score_financiero,tipo_gasto,requiere_atencion
2026-01-05,"Pago de internet",servicios,83506,1,1.0,20,0.04,0,0.3301,0.029,1.3591,gasto_inusual,1
2026-01-05,"Gasolina",transporte,50477,1,1.1,125,0.25,0,0.1953,0.7899,2.0852,gasto_controlado,0
2026-01-05,"Transporte app",transporte,19077,1,1.1,125,0.25,0,0.0672,0.7899,1.9571,gasto_frecuente,1
2026-01-06,"Almuerzo oficina",alimentacion,22918,1,1.2,154,0.308,0,0.0829,1,2.2829,gasto_controlado,0
2026-01-06,"Pasaje de bus",transporte,4247,1,1.1,125,0.25,1,0.0067,0.7899,2.8966,gasto_incremento_recurrente,1
2026-01-06,"Pasaje de bus",transporte,2988,1,1.1,125,0.25,0,0.0016,0.7899,1.8914,gasto_frecuente,1
2026-01-07,"Almuerzo oficina",alimentacion,19333,1,1.2,154,0.308,0,0.0683,1,2.2683,gasto_frecuente,1
2026-01-07,"Compra en supermercado",alimentacion,137847,1,1.2,154,0.308,0,0.5519,1,2.7519,gasto_elevado,1
2026-01-07,"Compra de libro",educacion,41694,1,1.1,35,0.07,0,0.1595,0.1377,1.3972,gasto_controlado,0
2026-01-07,"Cine y snacks",entretenimiento,84312,1,1.9,53,0.106,1,0.3334,0.2681,3.5015,gasto_incremento_recurrente,1
2026-01-07,"Suscripcion almacenamiento",entretenimiento,12182,1,1.9,53,0.106,0,0.0391,0.2681,2.2072,gasto_controlado,0
2026-01-07,"Consulta medica",salud,73890,1,1.3,38,0.076,0,0.2909,0.1594,1.7503,gasto_controlado,0
2026-01-07,"Pago de celular",servicios,56182,1,1.0,20,0.04,0,0.2186,0.029,1.2476,gasto_controlado,0
2026-01-08,"Compra en supermercado",alimentacion,126087,1,1.2,154,0.308,0,0.5039,1,2.7039,gasto_elevado,1
2026-01-08,"Snack tarde",alimentacion,5214,1,1.2,154,0.308,0,0.0106,1,2.2106,gasto_frecuente,1
2026-01-08,"Compra de medicamento",salud,53258,1,1.3,38,0.076,0,0.2067,0.1594,1.6661,gasto_controlado,0
2026-01-08,"Recarga transporte",transporte,12534,1,1.1,125,0.25,0,0.0405,0.7899,1.9304,gasto_frecuente,1
2026-01-09,"Suscripcion de Netflix",entretenimiento,26673,1,1.9,53,0.106,0,0.0982,0.2681,2.2663,gasto_controlado,0
2026-01-10,"Mercado de la semana",alimentacion,64893,1,1.2,154,0.308,0,0.2542,1,2.4542,gasto_controlado,0
2026-01-10,"Suscripcion almacenamiento",entretenimiento,10120,1,1.9,53,0.106,0,0.0307,0.2681,2.1988,gasto_controlado,0
2026-01-10,"Transporte app",transporte,39648,1,1.1,125,0.25,1,0.1512,0.7899,3.041,gasto_incremento_recurrente,1
2026-01-11,"Compra en supermercado",alimentacion,122854,1,1.2,154,0.308,0,0.4907,1,2.6907,gasto_elevado,1
2026-01-11,"Plataforma de musica",entretenimiento,18288,1,1.9,53,0.106,0,0.064,0.2681,2.2321,gasto_controlado,0
2026-01-11,"Salida con amigos",ocio,78646,1,1.8,59,0.118,0,0.3103,0.3116,2.4219,gasto_inusual,1
2026-01-11,"Medicamentos formulados",salud,69083,1,1.3,38,0.076,0,0.2713,0.1594,1.7307,gasto_controlado,0
2026-01-11,"Taxi por lluvia",transporte,14058,1,1.1,125,0.25,1,0.0467,0.7899,2.9366,gasto_incremento_recurrente,1
2026-01-11,"Transporte app",transporte,24458,1,1.1,125,0.25,0,0.0892,0.7899,1.979,gasto_controlado,0
2026-01-12,"Plan familiar",ocio,67326,1,1.8,59,0.118,0,0.2641,0.3116,2.3757,gasto_no_esencial_alto,1
2026-01-12,"Pasaje de bus",transporte,3965,1,1.1,125,0.25,1,0.0055,0.7899,2.8954,gasto_incremento_recurrente,1
2026-01-12,"Pasaje de bus",transporte,2605,1,1.1,125,0.25,0,0,0.7899,1.8899,gasto_frecuente,1
2026-01-12,"Taxi por lluvia",transporte,15805,1,1.1,125,0.25,1,0.0539,0.7899,2.9437,gasto_incremento_recurrente,1
2026-01-13,"Curso virtual",educacion,110386,1,1.1,35,0.07,0,0.4398,0.1377,1.6775,gasto_inusual,1
2026-01-13,"Suscripcion almacenamiento",entretenimiento,9217,1,1.9,53,0.106,0,0.027,0.2681,2.1951,gasto_controlado,0
2026-01-13,"Cena en restaurante",ocio,100147,1,1.8,59,0.118,0,0.398,0.3116,2.5096,gasto_inusual,1
2026-01-15,"Mercado de la semana",alimentacion,97054,1,1.2,154,0.308,1,0.3854,1,3.5854,gasto_incremento_recurrente,1
2026-01-15,"Snack tarde",alimentacion,10644,1,1.2,154,0.308,1,0.0328,1,3.2328,gasto_incremento_recurrente,1
2026-01-15,"Control odontologico",salud,140514,1,1.3,38,0.076,0,0.5627,0.1594,2.0222,gasto_emergencia,1
2026-01-15,"Gimnasio mensual",salud,72207,1,1.3,38,0.076,0,0.284,0.1594,1.7434,gasto_controlado,0
2026-01-15,"Recarga transporte",transporte,11199,1,1.1,125,0.25,0,0.0351,0.7899,1.9249,gasto_frecuente,1
2026-01-16,"Accesorio celular",compras_no_esenciales,39155,1,2.0,16,0.032,0,0.1491,0,2.1491,gasto_controlado,0
2026-01-17,"Desayuno fuera",alimentacion,15011,1,1.2,154,0.308,1,0.0506,1,3.2506,gasto_incremento_recurrente,1
2026-01-17,"Helado y bebida",ocio,14870,1,1.8,59,0.118,0,0.05,0.3116,2.1616,gasto_controlado,0
2026-01-18,"Domicilio comida",alimentacion,57096,1,1.2,154,0.308,1,0.2224,1,3.4224,gasto_incremento_recurrente,1
2026-01-18,"Cafe y postre",ocio,12002,1,1.8,59,0.118,0,0.0383,0.3116,2.1499,gasto_controlado,0
2026-01-18,"Recarga transporte",transporte,21087,1,1.1,125,0.25,1,0.0754,0.7899,2.9653,gasto_incremento_recurrente,1
2026-01-19,"Taxi por lluvia",transporte,19891,1,1.1,125,0.25,1,0.0705,0.7899,2.9604,gasto_incremento_recurrente,1
2026-01-20,"Mercado de la semana",alimentacion,123037,1,1.2,154,0.308,1,0.4914,1,3.6914,gasto_incremento_recurrente,1
2026-01-20,"Evento cultural",entretenimiento,105452,1,1.9,53,0.106,0,0.4197,0.2681,2.5878,gasto_inusual,1
2026-01-20,"Gasolina",transporte,64355,1,1.1,125,0.25,1,0.252,0.7899,3.1418,gasto_incremento_recurrente,1
2026-01-21,"Compra en supermercado",alimentacion,126939,1,1.2,154,0.308,0,0.5073,1,2.7073,gasto_elevado,1
2026-01-21,"Plan familiar",ocio,50012,1,1.8,59,0.118,0,0.1934,0.3116,2.305,gasto_no_esencial_alto,1
2026-01-21,"Recarga transporte",transporte,16123,1,1.1,125,0.25,0,0.0552,0.7899,1.945,gasto_frecuente,1
2026-01-22,"Videojuego digital",entretenimiento,91969,1,1.9,53,0.106,0,0.3646,0.2681,2.5328,gasto_inusual,1
2026-01-22,"Salida con amigos",ocio,78064,1,1.8,59,0.118,0,0.3079,0.3116,2.4195,gasto_inusual,1
2026-01-22,"Transporte app",transporte,34934,1,1.1,125,0.25,1,0.1319,0.7899,3.0218,gasto_incremento_recurrente,1
2026-01-23,"Desayuno fuera",alimentacion,16266,1,1.2,154,0.308,0,0.0557,1,2.2557,gasto_frecuente,1
2026-01-23,"Pago plataforma educativa",educacion,40530,1,1.1,35,0.07,0,0.1548,0.1377,1.3924,gasto_controlado,0
2026-01-23,"Plan familiar",ocio,43289,1,1.8,59,0.118,0,0.166,0.3116,2.2776,gasto_controlado,0
2026-01-23,"Gasolina",transporte,49978,1,1.1,125,0.25,0,0.1933,0.7899,2.0832,gasto_controlado,0
2026-01-24,"Desayuno fuera",alimentacion,10302,1,1.2,154,0.308,0,0.0314,1,2.2314,gasto_frecuente,1
2026-01-24,"Salida fin de semana",ocio,64884,1,1.8,59,0.118,0,0.2541,0.3116,2.3657,gasto_no_esencial_alto,1
2026-01-24,"Control odontologico",salud,131781,1,1.3,38,0.076,0,0.5271,0.1594,1.9865,gasto_emergencia,1
2026-01-25,"Cena en casa",alimentacion,42666,1,1.2,154,0.308,1,0.1635,1,3.3635,gasto_incremento_recurrente,1
2026-01-25,"Compra de frutas",alimentacion,26570,1,1.2,154,0.308,1,0.0978,1,3.2978,gasto_incremento_recurrente,1
2026-01-25,"Bus ida y regreso",transporte,7163,1,1.1,125,0.25,0,0.0186,0.7899,1.9085,gasto_frecuente,1
2026-01-26,"Mercado de la semana",alimentacion,82927,1,1.2,154,0.308,0,0.3278,1,2.5278,gasto_elevado,1
2026-01-26,"Bus ida y regreso",transporte,7582,1,1.1,125,0.25,0,0.0203,0.7899,1.9102,gasto_frecuente,1
2026-01-27,"Domicilio comida",alimentacion,25488,1,1.2,154,0.308,0,0.0934,1,2.2934,gasto_controlado,0
2026-01-27,"Matricula curso corto",educacion,228273,1,1.1,35,0.07,1,0.9208,0.1377,3.1585,gasto_incremento_recurrente,1
2026-01-27,"Medicamentos formulados",salud,50987,1,1.3,38,0.076,0,0.1974,0.1594,1.6568,gasto_controlado,0
2026-01-27,"Taxi por lluvia",transporte,12927,1,1.1,125,0.25,0,0.0421,0.7899,1.932,gasto_frecuente,1
2026-01-28,"Compra de frutas",alimentacion,19910,1,1.2,154,0.308,0,0.0706,1,2.2706,gasto_frecuente,1
2026-01-28,"Helado y bebida",ocio,15386,1,1.8,59,0.118,0,0.0522,0.3116,2.1637,gasto_controlado,0
2026-01-28,"Bus ida y regreso",transporte,6889,1,1.1,125,0.25,0,0.0175,0.7899,1.9073,gasto_frecuente,1
2026-01-29,"Compra de frutas",alimentacion,26492,1,1.2,154,0.308,1,0.0975,1,3.2975,gasto_incremento_recurrente,1
2026-01-29,"Compra de ropa",compras_no_esenciales,221660,1,2.0,16,0.032,0,0.8939,0,2.8939,gasto_inusual,1
2026-01-29,"Suscripcion almacenamiento",entretenimiento,14234,1,1.9,53,0.106,1,0.0475,0.2681,3.2156,gasto_incremento_recurrente,1
2026-01-30,"Cena en casa",alimentacion,23064,1,1.2,154,0.308,0,0.0835,1,2.2835,gasto_controlado,0
2026-01-30,"Snack tarde",alimentacion,9691,1,1.2,154,0.308,0,0.0289,1,2.2289,gasto_frecuente,1
2026-01-30,"Salida a cine",entretenimiento,60726,1,1.9,53,0.106,1,0.2372,0.2681,3.4053,gasto_incremento_recurrente,1
2026-01-30,"Consulta medica",salud,132497,1,1.3,38,0.076,1,0.53,0.1594,2.9894,gasto_emergencia,1
2026-01-30,"Taxi por lluvia",transporte,12221,1,1.1,125,0.25,0,0.0392,0.7899,1.9291,gasto_frecuente,1
2026-01-31,"Cena en casa",alimentacion,25092,1,1.2,154,0.308,0,0.0918,1,2.2918,gasto_controlado,0
2026-01-31,"Pago plataforma educativa",educacion,53602,1,1.1,35,0.07,1,0.2081,0.1377,2.4458,gasto_incremento_recurrente,1
2026-01-31,"Compra de medicamento",salud,46436,1,1.3,38,0.076,0,0.1789,0.1594,1.6383,gasto_controlado,0
2026-02-01,"Desayuno fuera",alimentacion,11948,2,1.2,154,0.308,1,0.0381,1,3.2381,gasto_incremento_recurrente,1
2026-02-01,"Snack tarde",alimentacion,10772,2,1.2,154,0.308,1,0.0333,1,3.2333,gasto_incremento_recurrente,1
2026-02-01,"Pago de energia",servicios,171542,2,1.0,20,0.04,0,0.6893,0.029,1.7183,gasto_inusual,1
2026-02-02,"Videojuego digital",entretenimiento,129111,2,1.9,53,0.106,1,0.5162,0.2681,3.6843,gasto_incremento_recurrente,1
2026-02-02,"Bus ida y regreso",transporte,5725,2,1.1,125,0.25,0,0.0127,0.7899,1.9026,gasto_frecuente,1
2026-02-02,"Gasolina",transporte,71249,2,1.1,125,0.25,1,0.2801,0.7899,3.17,gasto_incremento_recurrente,1
2026-02-03,"Pago de agua",servicios,48288,2,1.0,20,0.04,1,0.1864,0.029,2.2154,gasto_incremento_recurrente,1
2026-02-03,"Pasaje de bus",transporte,3819,2,1.1,125,0.25,1,0.005,0.7899,2.8948,gasto_incremento_recurrente,1
2026-02-04,"Suscripcion almacenamiento",entretenimiento,11085,2,1.9,53,0.106,0,0.0346,0.2681,2.2027,gasto_controlado,0
2026-02-04,"Gasolina",transporte,90922,2,1.1,125,0.25,1,0.3604,0.7899,3.2502,gasto_incremento_recurrente,1
2026-02-05,"Evento cultural",entretenimiento,87537,2,1.9,53,0.106,0,0.3466,0.2681,2.5147,gasto_inusual,1
2026-02-05,"Pago de internet",servicios,85695,2,1.0,20,0.04,0,0.339,0.029,1.368,gasto_inusual,1
2026-02-05,"Transporte app",transporte,26347,2,1.1,125,0.25,0,0.0969,0.7899,1.9867,gasto_controlado,0
2026-02-06,"Compra en supermercado",alimentacion,87252,2,1.2,154,0.308,0,0.3454,1,2.5454,gasto_elevado,1
2026-02-06,"Control odontologico",salud,89829,2,1.3,38,0.076,0,0.3559,0.1594,1.8153,gasto_emergencia,1
2026-02-06,"Taxi por lluvia",transporte,22538,2,1.1,125,0.25,1,0.0813,0.7899,2.9712,gasto_incremento_recurrente,1
2026-02-07,"Cena en casa",alimentacion,23053,2,1.2,154,0.308,0,0.0834,1,2.2834,gasto_controlado,0
2026-02-07,"Pago de celular",servicios,54730,2,1.0,20,0.04,0,0.2127,0.029,1.2417,gasto_controlado,0
2026-02-07,"Transporte app",transporte,37952,2,1.1,125,0.25,1,0.1442,0.7899,3.0341,gasto_incremento_recurrente,1
2026-02-08,"Helado y bebida",ocio,16355,2,1.8,59,0.118,0,0.0561,0.3116,2.1677,gasto_controlado,0
2026-02-09,"Salida a cine",entretenimiento,60720,2,1.9,53,0.106,0,0.2371,0.2681,2.4053,gasto_no_esencial_alto,1
2026-02-09,"Suscripcion de Netflix",entretenimiento,28022,2,1.9,53,0.106,0,0.1037,0.2681,2.2718,gasto_controlado,0
2026-02-09,"Gasolina",transporte,75688,2,1.1,125,0.25,0,0.2982,0.7899,2.1881,gasto_controlado,0
2026-02-10,"Mercado de la semana",alimentacion,70265,2,1.2,154,0.308,0,0.2761,1,2.4761,gasto_controlado,0
2026-02-10,"Taxi por lluvia",transporte,21311,2,1.1,125,0.25,0,0.0763,0.7899,1.9662,gasto_controlado,0
2026-02-11,"Almuerzo oficina",alimentacion,23532,2,1.2,154,0.308,1,0.0854,1,3.2854,gasto_incremento_recurrente,1
2026-02-11,"Domicilio comida",alimentacion,44195,2,1.2,154,0.308,1,0.1697,1,3.3697,gasto_incremento_recurrente,1
2026-02-11,"Plataforma de musica",entretenimiento,18461,2,1.9,53,0.106,0,0.0647,0.2681,2.2328,gasto_controlado,0
2026-02-11,"Helado y bebida",ocio,17308,2,1.8,59,0.118,0,0.06,0.3116,2.1716,gasto_controlado,0
2026-02-12,"Mercado de la semana",alimentacion,122289,2,1.2,154,0.308,1,0.4884,1,3.6884,gasto_incremento_recurrente,1
2026-02-12,"Bus ida y regreso",transporte,7310,2,1.1,125,0.25,1,0.0192,0.7899,2.9091,gasto_incremento_recurrente,1
2026-02-13,"Mercado de la semana",alimentacion,106629,2,1.2,154,0.308,0,0.4245,1,2.6245,gasto_elevado,1
2026-02-13,"Curso virtual",educacion,103193,2,1.1,35,0.07,0,0.4104,0.1377,1.6481,gasto_inusual,1
2026-02-13,"Cena en restaurante",ocio,91495,2,1.8,59,0.118,0,0.3627,0.3116,2.4743,gasto_inusual,1
2026-02-13,"Compra de medicamento",salud,39595,2,1.3,38,0.076,0,0.1509,0.1594,1.6104,gasto_controlado,0
2026-02-14,"Desayuno fuera",alimentacion,12151,2,1.2,154,0.308,0,0.039,1,2.239,gasto_frecuente,1
2026-02-14,"Mercado de la semana",alimentacion,71018,2,1.2,154,0.308,0,0.2792,1,2.4792,gasto_controlado,0
2026-02-14,"Compra de ropa",compras_no_esenciales,119162,2,2.0,16,0.032,0,0.4756,0,2.4756,gasto_inusual,1
2026-02-14,"Gasolina",transporte,61339,2,1.1,125,0.25,0,0.2397,0.7899,2.1295,gasto_controlado,0
2026-02-15,"Mercado de la semana",alimentacion,109547,2,1.2,154,0.308,1,0.4364,1,3.6364,gasto_incremento_recurrente,1
2026-02-15,"Suscripcion almacenamiento",entretenimiento,9254,2,1.9,53,0.106,0,0.0271,0.2681,2.1952,gasto_controlado,0
2026-02-15,"Gimnasio mensual",salud,68740,2,1.3,38,0.076,0,0.2699,0.1594,1.7293,gasto_controlado,0
2026-02-15,"Transporte app",transporte,12986,2,1.1,125,0.25,0,0.0424,0.7899,1.9322,gasto_frecuente,1
2026-02-16,"Videojuego digital",entretenimiento,94369,2,1.9,53,0.106,0,0.3744,0.2681,2.5426,gasto_inusual,1
2026-02-16,"Salida fin de semana",ocio,135289,2,1.8,59,0.118,1,0.5414,0.3116,3.653,gasto_incremento_recurrente,1
2026-02-16,"Compra de medicamento",salud,58626,2,1.3,38,0.076,1,0.2286,0.1594,2.688,gasto_incremento_recurrente,1
2026-02-17,"Compra en supermercado",alimentacion,87074,2,1.2,154,0.308,0,0.3447,1,2.5447,gasto_elevado,1
2026-02-17,"Control odontologico",salud,132347,2,1.3,38,0.076,1,0.5294,0.1594,2.9888,gasto_emergencia,1
2026-02-17,"Pasaje de bus",transporte,3768,2,1.1,125,0.25,0,0.0047,0.7899,1.8946,gasto_frecuente,1
2026-02-18,"Compra de frutas",alimentacion,28132,2,1.2,154,0.308,0,0.1042,1,2.3042,gasto_controlado,0
2026-02-18,"Compra en supermercado",alimentacion,125254,2,1.2,154,0.308,1,0.5005,1,3.7005,gasto_incremento_recurrente,1
2026-02-18,"Suscripcion almacenamiento",entretenimiento,14120,2,1.9,53,0.106,1,0.047,0.2681,3.2151,gasto_incremento_recurrente,1
2026-02-18,"Transporte app",transporte,20164,2,1.1,125,0.25,1,0.0716,0.7899,2.9615,gasto_incremento_recurrente,1
2026-02-19,"Cena en casa",alimentacion,26239,2,1.2,154,0.308,1,0.0964,1,3.2964,gasto_incremento_recurrente,1
2026-02-19,"Medicamentos formulados",salud,72985,2,1.3,38,0.076,1,0.2872,0.1594,2.7466,gasto_incremento_recurrente,1
2026-02-19,"Pasaje de bus",transporte,3023,2,1.1,125,0.25,0,0.0017,0.7899,1.8916,gasto_frecuente,1
2026-02-20,"Compra de frutas",alimentacion,32509,2,1.2,154,0.308,1,0.122,1,3.322,gasto_incremento_recurrente,1
2026-02-20,"Pasaje de bus",transporte,2857,2,1.1,125,0.25,0,0.001,0.7899,1.8909,gasto_frecuente,1
2026-02-21,"Mercado de la semana",alimentacion,107672,2,1.2,154,0.308,0,0.4287,1,2.6287,gasto_elevado,1
2026-02-21,"Compra de ropa",compras_no_esenciales,130293,2,2.0,16,0.032,0,0.521,0,2.521,gasto_inusual,1
2026-02-21,"Salida con amigos",ocio,50413,2,1.8,59,0.118,0,0.1951,0.3116,2.3067,gasto_no_esencial_alto,1
2026-02-22,"Almuerzo oficina",alimentacion,12184,2,1.2,154,0.308,0,0.0391,1,2.2391,gasto_frecuente,1
2026-02-22,"Compra de frutas",alimentacion,27769,2,1.2,154,0.308,0,0.1027,1,2.3027,gasto_controlado,0
2026-02-22,"Salida fin de semana",ocio,138781,2,1.8,59,0.118,0,0.5557,0.3116,2.6673,gasto_inusual,1
2026-02-23,"Compra en supermercado",alimentacion,88729,2,1.2,154,0.308,0,0.3514,1,2.5514,gasto_elevado,1
2026-02-23,"Taxi por lluvia",transporte,25582,2,1.1,125,0.25,1,0.0938,0.7899,2.9836,gasto_incremento_recurrente,1
2026-02-24,"Salida fin de semana",ocio,118043,2,1.8,59,0.118,0,0.471,0.3116,2.5826,gasto_inusual,1
2026-02-24,"Transporte app",transporte,27037,2,1.1,125,0.25,1,0.0997,0.7899,2.9895,gasto_incremento_recurrente,1
2026-02-25,"Almuerzo oficina",alimentacion,18073,2,1.2,154,0.308,1,0.0631,1,3.2631,gasto_incremento_recurrente,1
2026-02-25,"Salida fin de semana",ocio,139652,2,1.8,59,0.118,1,0.5592,0.3116,3.6708,gasto_incremento_recurrente,1
2026-02-25,"Bus ida y regreso",transporte,7464,2,1.1,125,0.25,0,0.0198,0.7899,1.9097,gasto_frecuente,1
2026-02-26,"Cena en casa",alimentacion,37172,2,1.2,154,0.308,1,0.1411,1,3.3411,gasto_incremento_recurrente,1
2026-02-27,"Compra de audifonos",compras_no_esenciales,40947,2,2.0,16,0.032,0,0.1565,0,2.1565,gasto_controlado,0
2026-02-27,"Pasaje de bus",transporte,3664,2,1.1,125,0.25,1,0.0043,0.7899,2.8942,gasto_incremento_recurrente,1
2026-02-28,"Compra de frutas",alimentacion,36371,2,1.2,154,0.308,1,0.1378,1,3.3378,gasto_incremento_recurrente,1
2026-02-28,"Snack tarde",alimentacion,12019,2,1.2,154,0.308,1,0.0384,1,3.2384,gasto_incremento_recurrente,1
2026-03-01,"Compra de frutas",alimentacion,19537,3,1.2,154,0.308,0,0.0691,1,2.2691,gasto_frecuente,1
2026-03-01,"Suscripcion almacenamiento",entretenimiento,10726,3,1.9,53,0.106,0,0.0331,0.2681,2.2013,gasto_controlado,0
2026-03-01,"Pago de energia",servicios,184169,3,1.0,20,0.04,0,0.7409,0.029,1.7699,gasto_inusual,1
2026-03-02,"Domicilio comida",alimentacion,28285,3,1.2,154,0.308,0,0.1048,1,2.3048,gasto_controlado,0
2026-03-02,"Control odontologico",salud,71032,3,1.3,38,0.076,0,0.2792,0.1594,1.7386,gasto_controlado,0
2026-03-03,"Compra de frutas",alimentacion,31056,3,1.2,154,0.308,1,0.1161,1,3.3161,gasto_incremento_recurrente,1
2026-03-03,"Pago de agua",servicios,41703,3,1.0,20,0.04,0,0.1595,0.029,1.1885,gasto_controlado,0
2026-03-03,"Pasaje de bus",transporte,2619,3,1.1,125,0.25,0,0.0001,0.7899,1.8899,gasto_frecuente,1
2026-03-04,"Domicilio comida",alimentacion,57338,3,1.2,154,0.308,1,0.2233,1,3.4233,gasto_incremento_recurrente,1
2026-03-04,"Evento cultural",entretenimiento,95136,3,1.9,53,0.106,0,0.3776,0.2681,2.5457,gasto_inusual,1
2026-03-04,"Plan familiar",ocio,28861,3,1.8,59,0.118,0,0.1071,0.3116,2.2187,gasto_controlado,0
2026-03-04,"Compra farmacia",salud,42916,3,1.3,38,0.076,0,0.1645,0.1594,1.6239,gasto_controlado,0
2026-03-04,"Taxi por lluvia",transporte,17631,3,1.1,125,0.25,0,0.0613,0.7899,1.9512,gasto_frecuente,1
2026-03-05,"Domicilio comida",alimentacion,42872,3,1.2,154,0.308,0,0.1643,1,2.3643,gasto_controlado,0
2026-03-05,"Mercado de la semana",alimentacion,101141,3,1.2,154,0.308,0,0.4021,1,2.6021,gasto_elevado,1
2026-03-05,"Plan familiar",ocio,78668,3,1.8,59,0.118,1,0.3104,0.3116,3.422,gasto_incremento_recurrente,1
2026-03-05,"Compra de medicamento",salud,50804,3,1.3,38,0.076,0,0.1967,0.1594,1.6561,gasto_controlado,0
2026-03-05,"Pago de internet",servicios,93530,3,1.0,20,0.04,0,0.371,0.029,1.4,gasto_inusual,1
2026-03-06,"Mercado de la semana",alimentacion,122678,3,1.2,154,0.308,1,0.49,1,3.69,gasto_incremento_recurrente,1
2026-03-06,"Cena en restaurante",ocio,101610,3,1.8,59,0.118,1,0.404,0.3116,3.5156,gasto_incremento_recurrente,1
2026-03-06,"Compra farmacia",salud,19913,3,1.3,38,0.076,0,0.0706,0.1594,1.53,gasto_controlado,0
2026-03-06,"Bus ida y regreso",transporte,7024,3,1.1,125,0.25,0,0.018,0.7899,1.9079,gasto_frecuente,1
2026-03-06,"Gasolina",transporte,91481,3,1.1,125,0.25,1,0.3627,0.7899,3.2525,gasto_incremento_recurrente,1
2026-03-07,"Desayuno fuera",alimentacion,16975,3,1.2,154,0.308,1,0.0586,1,3.2586,gasto_incremento_recurrente,1
2026-03-07,"Pago de celular",servicios,57962,3,1.0,20,0.04,0,0.2259,0.029,1.2549,gasto_controlado,0
2026-03-07,"Bus ida y regreso",transporte,5852,3,1.1,125,0.25,0,0.0132,0.7899,1.9031,gasto_frecuente,1
2026-03-08,"Desayuno fuera",alimentacion,11887,3,1.2,154,0.308,0,0.0379,1,2.2379,gasto_frecuente,1
2026-03-08,"Helado y bebida",ocio,18302,3,1.8,59,0.118,0,0.0641,0.3116,2.1756,gasto_controlado,0
2026-03-08,"Medicamentos formulados",salud,35295,3,1.3,38,0.076,0,0.1334,0.1594,1.5928,gasto_controlado,0
2026-03-09,"Compra de frutas",alimentacion,31409,3,1.2,154,0.308,0,0.1175,1,2.3175,gasto_controlado,0
2026-03-09,"Compra en supermercado",alimentacion,116834,3,1.2,154,0.308,1,0.4661,1,3.6661,gasto_incremento_recurrente,1
2026-03-09,"Compra de cuaderno",educacion,12481,3,1.1,35,0.07,0,0.0403,0.1377,1.278,gasto_controlado,0
2026-03-09,"Suscripcion de Netflix",entretenimiento,27590,3,1.9,53,0.106,0,0.102,0.2681,2.2701,gasto_controlado,0
2026-03-09,"Cena en restaurante",ocio,83259,3,1.8,59,0.118,0,0.3291,0.3116,2.4407,gasto_inusual,1
2026-03-09,"Transporte app",transporte,19749,3,1.1,125,0.25,0,0.07,0.7899,1.9598,gasto_frecuente,1
2026-03-10,"Compra de frutas",alimentacion,25989,3,1.2,154,0.308,0,0.0954,1,2.2954,gasto_controlado,0
2026-03-10,"Compra en supermercado",alimentacion,122476,3,1.2,154,0.308,0,0.4891,1,2.6891,gasto_elevado,1
2026-03-10,"Compra de ropa",compras_no_esenciales,127288,3,2.0,16,0.032,0,0.5088,0,2.5088,gasto_inusual,1
